"filename", "language", "JSON", "JavaScript", "Properties", "TypeScript", "JSON with Comments", "YAML", "TypeScript JSX", "PostCSS", "XML", "HTML", "Markdown", "comment", "blank", "total"
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\useBooking.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\useBookings.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 5, 10, 75
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\useDeleteBooking.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\CabinColumns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 11, 230
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\CabinFormDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 48
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\CabinsDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 2, 13, 139
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\CabinsTableOperations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\CreateCabinForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 3, 18, 239
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\ImageUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 1, 6, 93
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\useCabinMutations.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\react-projects\the-wild-oasis-ts\src\features\cabins\useCabins.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\react-projects\the-wild-oasis-ts\src\features\check-in-out\CheckinBooking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 14, 135
